nput | Data to be predicted (required). Example: path to image/PDF, URL, or directory (PDF in directory not supported). | str | None
save_path | Path to save inference results. If None, results not saved locally. | str | None
layout_detection_model_name | Layout detection model name. If None, default model used. | str | None
layout_detection_model_dir | Path to layout detection model. If None, downloads official model. | str | None
layout_threshold | Score threshold for layout detection (0–1). | float | 0.5
layout_nms | Use NMS for layout detection post-processing. | bool | True
layout_unclip_ratio | Unclip ratio for layout detection boxes (>0). | float | 1.0
layout_merge_bboxes_mode | Merge mode for overlapping boxes: large, small, union. | str | large
chart_recognition_model_name | Chart parsing model name. | str | None
chart_recognition_model_dir | Path to chart parsing model. | str | None
chart_recognition_batch_size | Batch size for chart parsing model. | int | 1
region_detection_model_name | Region detection model name. | str | None
region_detection_model_dir | Path to region detection model. | str | None
doc_orientation_classify_model_name | Doc orientation classification model name. | str | None
doc_orientation_classify_model_dir | Path to doc orientation classification model. | str | None
doc_unwarping_model_name | Document unwarping model name. | str | None
doc_unwarping_model_dir | Path to document unwarping model. | str | None
text_detection_model_name | Text detection model name. | str | None
text_detection_model_dir | Path to text detection model. | str | None
text_det_limit_side_len | Side length limit for text detection (>0). | int | 960
text_det_limit_type | Limit type: min or max. | str | max
text_det_thresh | Pixel threshold for detection (>0). | float | 0.3
text_det_box_thresh | Box threshold for detection (>0). | float | 0.6
text_det_unclip_ratio | Unclip ratio for text detection boxes (>0). | float | 2.0
textline_orientation_model_name | Text line orientation model name. | str | None
textline_orientation_model_dir | Path to text line orientation model. | str | None
textline_orientation_batch_size | Batch size for text line orientation model. | int | 1
text_recognition_model_name | Text recognition model name. | str | None
text_recognition_model_dir | Path to text recognition model. | str | None
text_recognition_batch_size | Batch size for text recognition model. | int | 1
text_rec_score_thresh | Score threshold for text recognition (>0). | float | 0.0
table_classification_model_name | Table classification model name. | str | None
table_classification_model_dir | Path to table classification model. | str | None
wired_table_structure_recognition_model_name | Wired table structure recognition model name. | str | None
wired_table_structure_recognition_model_dir | Path to wired table structure recognition model. | str | None
wireless_table_structure_recognition_model_name | Wireless table structure recognition model name. | str | None
wireless_table_structure_recognition_model_dir | Path to wireless table structure recognition model. | str | None
wired_table_cells_detection_model_name | Wired table cells detection model name. | str | None
wired_table_cells_detection_model_dir | Path to wired table cells detection model. | str | None
wireless_table_cells_detection_model_name | Wireless table cells detection model name. | str | None
wireless_table_cells_detection_model_dir | Path to wireless table cells detection model. | str | None
table_orientation_classify_model_name | Table orientation classification model name. | str | None
table_orientation_classify_model_dir | Path to table orientation classification model. | str | None
seal_text_detection_model_name | Seal text detection model name. | str | None
seal_text_detection_model_dir | Path to seal text detection model. | str | None
seal_det_limit_side_len | Side length limit for seal detection (>0). | int | 736
seal_det_limit_type | Limit type for seal detection: min or max. | str | min
seal_det_thresh | Pixel threshold for seal detection (>0). | float | 0.2
seal_det_box_thresh | Box threshold for seal detection (>0). | float | 0.6
seal_det_unclip_ratio | Unclip ratio for seal detection (>0). | float | 0.5
seal_text_recognition_model_name | Seal text recognition model name. | str | None
seal_text_recognition_model_dir | Path to seal text recognition model. | str | None
seal_text_recognition_batch_size | Batch size for seal text recognition. | int | 1
seal_rec_score_thresh | Score threshold for seal recognition (>0). | float | 0.0
formula_recognition_model_name | Formula recognition model name. | str | None
formula_recognition_model_dir | Path to formula recognition model. | str | None
formula_recognition_batch_size | Batch size for formula recognition. | int | 1
use_doc_orientation_classify | Use doc orientation classification module. | bool | False
use_doc_unwarping | Use document unwarping module. | bool | False
use_textline_orientation | Use text line orientation classification module. | bool | True
use_seal_recognition | Use seal recognition subpipeline. | bool | True
use_table_recognition | Use table recognition subpipeline. | bool | True
use_formula_recognition | Use formula recognition subpipeline. | bool | True
use_chart_recognition | Use chart parsing module. | bool | False
use_region_detection | Use document region detection module. | bool | True
device | Device for inference (cpu, gpu:0, etc.). | str | Auto (GPU0 if available else CPU)
enable_hpi | Enable high performance inference. | bool | False
use_tensorrt | Use TensorRT acceleration (if supported). | bool | False
precision | Computation precision (fp32, fp16). | str | fp32
enable_mkldnn | Enable MKL-DNN acceleration (CPU only). | bool | True
mkldnn_cache_capacity | MKL-DNN cache capacity. | int | 10
cpu_threads | Number of CPU threads for inference. | int | 8
paddlex_config | Path to PaddleX pipeline configuration file. | str | None
